id	Taxa	taxon
S000428720	Candidatus Phytoplasma	Candidatus Phytoplasma fraxini
S000430606	Acinetobacter junii	Acinetobacter grimontii
S000430990	Candidatus Phytoplasma	Candidatus Phytoplasma phoenicium
S000434385	Methylobacterium rhodesianum	Methylobacterium lusitanum
S000434588	Nocardiopsis sp.	Nocardiopsis exhalans
S000435483	Bacteroidetes bacterium	Polaribacter butkevichii
S000436036	Rhizobium radiobacter	Agrobacterium tumefaciens
S000436672	Haemophilus segnis	Aggregatibacter segnis
S000437097	Moraxella (Branhamella)	Moraxella catarrhalis
S000437159	Thermoanerobacter brockii	Thermoanaerobacter brockii
S000437198	Candidatus Phytoplasma	Candidatus Phytoplasma aurantifolia
S000437528	Butyrivibrio proteoclasticus	Clostridium proteoclasticum
S000437566	Caldanaerobius polysaccharolyticus	Thermoanaerobacterium polysaccharolyticum
S000438421	Caldanaerobius zeae	Thermoanaerobacterium zeae
S000438807	Candidatus Phlomobacter	Candidatus Phlomobacter fragariae
S000438835	Candidatus Arsenophonus	Candidatus Arsenophonus triatominarum
S000439318	Rhodocista centenaria	Rhodospirillum centenum
S000445670	Rhodanobacter fulva	Rhodanobacter fulvus
S000447136	Brevibacterium halotolerans	[Brevibacterium] halotolerans
S000460393	Mycobacterium bonickei	Mycobacterium boenickei
S000468990	Ensifer fredii	Sinorhizobium xinjiangense
S000469274	Kitasatospora cochleata	Streptomyces cinereorectus
S000469294	Acetobacter pasteurianus	Acetobacter peroxydans
S000471091	Lactobacillus rossii	Lactobacillus rossiae
S000471772	Jannaschia cystaugens	Thalassobacter stenotrophicus
S000472247	Photobacterium eurosenbergii	Photobacterium rosenbergii
S000484620	Candidatus Burkholderia	Candidatus Burkholderia calva
S000484621	Candidatus Burkholderia	Candidatus Burkholderia nigropunctata
S000499934	Candidatus Burkholderia	Candidatus Burkholderia kirkii
S000514212	Enterococcus caccae	Enterococcus silesiacus
S000536517	Clostridium alkalicellum	Clostridium alkalicellulosi
S000540395	Pseudomonas stutzeri	Pseudomonas chloritidismutans
S000540524	Eggerthella hongkongensis	Paraeggerthella hongkongensis
S000540599	Bacillus mojavensis	Bacillus malacitensis
S000540600	Bacillus mojavensis	Bacillus axarquiensis
S000541626	Donghaeana dokdonensis	Persicivirga dokdonensis
S000541807	marine firmicute	Oceanobacillus iheyensis
S000543982	Neisseria sp.	Kingella potus
S000544217	Streptomyces mashuensis	Streptomyces kishiwadensis
S000544225	Streptomyces lilacinus	Streptomyces kashimirensis
S000544227	Streptomyces abikoensis	Streptomyces parvisporogenes
S000544255	Streptomyces spinoverrucosus	Streptomyces purpurascens
S000544257	Streptomyces cinnamoneus	Streptomyces sapporonensis
S000570539	Streptomyces olivoverticillatus	Streptomyces viridiflavus
S000571530	Exiguobacterium sp.	Exiguobacterium mexicanum
S000576723	Dyella koreensis	Dyella soli
S000603879	Pseudoxanthomonas dokdonensis	Stenotrophomonas dokdonensis
S000631791	Mycobacterium phocaicum	Mycobacterium mucogenicum
S000701177	Sinorhizobium americanum	Sinorhizobium fredii
S000735276	Lactobacillus amylovorus	Lactobacillus sobrius
S000979021	Ensifer kummerowiae	Sinorhizobium kummerowiae
