id	sppErrors.taxa	sppErrors.level	sppErrors.taxon	Taxa	taxon	diff	citation	corpus.genus	my.assignment	agreement.
S000146513	Sporosarcina macmurdoensis	SPECIES	Paenisporosarcina macmurdoensis	Sporosarcina macmurdoensis	Paenisporosarcina macmurdoensis	synonym	http://ijs.sgmjournals.org.proxy.uchicago.edu/cgi/content/full/59/6/1364	Sporosarcina	Paenisporosarcina	NA
S000247785	Deinococcus sp.	SPECIES	Deinococcus frigens	Deinococcus sp.	Deinococcus frigens	SPECIFICITY		Deinococcus	Deinococcus	1
S000247787	Deinococcus sp.	SPECIES	Deinococcus saxicola	Deinococcus sp.	Deinococcus saxicola	SPECIFICITY		Deinococcus	Deinococcus	1
S000247788	Deinococcus sp.	SPECIES	Deinococcus marmoris	Deinococcus sp.	Deinococcus marmoris	SPECIFICITY		Deinococcus	Deinococcus	1
S000270583	Streptomyces griseus	SPECIES	Streptomyces erumpens	Streptomyces griseus	Streptomyces erumpens	ambig/review		Streptomyces	Streptomyces	1
S000324392	Klebsiella variicola	SPECIES	Klebsiella pneumoniae	Klebsiella variicola	Klebsiella pneumoniae	ambig/review		Klebsiella	Klebsiella	1
S000333610	Citricella thiooxidans	SPECIES	Citreicella thiooxidans	Citricella thiooxidans	Citreicella thiooxidans	spelling		Citricella	Citreicella	1
S000352703	Spirochaeta sp.	SPECIES	Spirochaeta coccoides	Spirochaeta sp.	Spirochaeta coccoides	SPECIFICITY		Spirochaeta	Spirochaeta	1
S000363187	Helicobacter sp.	SPECIES	Helicobacter pametensis	Helicobacter sp.	Helicobacter pametensis	SPECIFICITY		Helicobacter	Helicobacter	1
S000364328	Ensifer meliloti	SPECIES	Sinorhizobium meliloti	Ensifer meliloti	Sinorhizobium meliloti	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/53/6/2107	Ensifer	Sinorhizobium	NA
S000364331	Rhizobium vitis	SPECIES	Agrobacterium vitis	Rhizobium vitis	Agrobacterium vitis	synonym	http://www.ncbi.nlm.nih.gov/pubmed/11211278	Rhizobium	Agrobacterium	NA
S000364334	Rhizobium rubi	SPECIES	Agrobacterium rubi	Rhizobium rubi	Agrobacterium rubi	synonym	http://www.ncbi.nlm.nih.gov/pubmed/11211278	Rhizobium	Agrobacterium	NA
S000364342	Ensifer terangae	SPECIES	Sinorhizobium terangae	Ensifer terangae	Sinorhizobium terangae	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/53/6/2107	Ensifer	Sinorhizobium	NA
S000364344	Ensifer saheli	SPECIES	Sinorhizobium saheli	Ensifer saheli	Sinorhizobium saheli	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/53/6/2107	Ensifer	Sinorhizobium	NA
S000364783	Nocardia sp.	SPECIES	Nocardia anaemiae	Nocardia sp.	Nocardia anaemiae	SPECIFICITY		Nocardia	Nocardia	1
S000381077	Alicyclobacillus disulfidooxydans	SPECIES	Alicyclobacillus disulfidooxidans	Alicyclobacillus disulfidooxydans	Alicyclobacillus disulfidooxidans	spelling		Alicyclobacillus	Alicyclobacillus	1
S000381172	Dickeya chrysanthemi	SPECIES	Erwinia chrysanthemi	Dickeya chrysanthemi	Erwinia chrysanthemi	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/55/4/1415	Dickeya	Erwinia	NA
S000381650	Streptococcus bovis	SPECIES	Streptococcus equinus	Streptococcus bovis	Streptococcus equinus	ambig/review		Streptococcus	Streptococcus	1
S000386953	Moraxella (Moraxella)	SPECIES	Moraxella lacunata	Moraxella (Moraxella)	Moraxella lacunata	SPECIFICITY		Moraxella	Moraxella	1
S000386975	Moraxella (Moraxella)	SPECIES	Moraxella bovis	Moraxella (Moraxella)	Moraxella bovis	SPECIFICITY		Moraxella	Moraxella	1
S000386978	Moraxella (Branhamella)	SPECIES	Moraxella catarrhalis	Moraxella (Branhamella)	Moraxella catarrhalis	SPECIFICITY		Moraxella	Moraxella	1
S000386979	Moraxella (Branhamella)	SPECIES	Moraxella ovis	Moraxella (Branhamella)	Moraxella ovis	SPECIFICITY		Moraxella	Moraxella	1
S000386980	Moraxella (Branhamella)	SPECIES	Moraxella caviae	Moraxella (Branhamella)	Moraxella caviae	SPECIFICITY		Moraxella	Moraxella	1
